priority,keyword,search_volume,competition,competition_index,cpc,intent,cluster,page_type,url_action,score,notes
199,1958 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1958-chinese-zodiac/,91.7,New article candidate.
200,1960 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1960-chinese-zodiac/,91.7,New article candidate.
201,1961 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1961-chinese-zodiac/,91.7,New article candidate.
202,1962 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1962-chinese-zodiac/,91.7,New article candidate.
203,1966 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1966-chinese-zodiac/,91.7,New article candidate.
204,chinese sign 1958,6600,LOW,0,,year,General,year guide,/guides/chinese-sign-1958/,91.7,New article candidate.
205,chinese sign 1960,6600,LOW,0,,year,General,year guide,/guides/chinese-sign-1960/,91.7,New article candidate.
206,chinese sign 1961,6600,LOW,0,,year,General,year guide,/guides/chinese-sign-1961/,91.7,New article candidate.
207,chinese sign 1962,6600,LOW,0,,year,General,year guide,/guides/chinese-sign-1962/,91.7,New article candidate.
208,lunar zodiac sign,2400,LOW,4,1.46,festival,General,guide article,/guides/lunar-zodiac-sign/,91,New article candidate.
209,1951 year of the chinese zodiac,3600,LOW,0,,year,Years,year guide,/guides/1951-year-of-the-chinese-zodiac/,90.4,New article candidate.
210,chinese birth year animal,40500,LOW,24,0.05,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,90.2,Already has a matching page; use for page expansion or supporting paragraph.
211,1956 chinese zodiac,5400,LOW,0,0.06,year,General,year guide,/guides/1956-chinese-zodiac/,90.1,New article candidate.
212,2019 chinese zodiac,5400,LOW,0,0.01,year,General,year guide,/guides/2019-chinese-zodiac/,89.7,New article candidate.
213,chinese zodiac earth snake,1900,LOW,0,,element,Snake / 2025,element article,/guides/chinese-zodiac-earth-snake/,89.7,New article candidate.
214,1954 chinese zodiac,5400,LOW,0,,year,General,year guide,/guides/1954-chinese-zodiac/,89.6,New article candidate.
215,1957 chinese year,5400,LOW,0,,year,Years,year guide,/guides/1957-chinese-year/,89.6,New article candidate.
216,1957 chinese zodiac,5400,LOW,0,,year,General,year guide,/guides/1957-chinese-zodiac/,89.6,New article candidate.
