priority,keyword,search_volume,competition,competition_index,cpc,intent,cluster,page_type,url_action,score,notes
3057,leo sagittarius compatibility,14800,LOW,5,0.2,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-4.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3058,sagittarius compatibility,12100,LOW,2,0.29,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-4.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3059,gemini man pisces woman,1000,LOW,7,0.18,general,General,guide article,/guides/gemini-man-pisces-woman/,-4.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3060,chinese horoscope table,70,MEDIUM,59,0.02,general,General,supporting article or existing-page expansion,Expand existing /,-4.7,Already has a matching page; use for page expansion or supporting paragraph.
3061,leo libra compatibility,14800,LOW,5,0.17,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-4.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3062,cancer leo compatibility,14800,LOW,4,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-4.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3063,capricorn male and virgo female,1000,LOW,5,0.04,general,General,guide article,/guides/capricorn-male-and-virgo-female/,-4.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3064,capricorn man virgo woman,1000,LOW,5,0.04,general,General,guide article,/guides/capricorn-man-virgo-woman/,-4.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3065,aquarius and aries relationship,390,LOW,3,0.01,compatibility,General,compatibility article,/guides/aquarius-and-aries-relationship/,-4.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3066,scorpio compatibility,12100,LOW,1,0.2,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3067,aquarius man sagittarius woman,1000,LOW,5,0.03,general,General,guide article,/guides/aquarius-man-sagittarius-woman/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3068,cancer man virgo woman,1000,LOW,5,0.03,general,General,guide article,/guides/cancer-man-virgo-woman/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3069,aries woman gemini man,880,LOW,6,0.25,general,General,guide article,/guides/aries-woman-gemini-man/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3070,capricorn man and leo woman,880,LOW,2,0.03,general,General,guide article,/guides/capricorn-man-and-leo-woman/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3071,aquarius man and sagittarius woman,720,LOW,5,0.45,general,General,guide article,/guides/aquarius-man-and-sagittarius-woman/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3072,scorpio scorpio relationship,590,LOW,2,0.04,compatibility,General,compatibility article,/guides/scorpio-scorpio-relationship/,-4.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3073,libra man cancer woman,1000,LOW,6,0.07,general,General,guide article,/guides/libra-man-cancer-woman/,-5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3074,libra compatibility,12100,LOW,2,0.22,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3075,libra libra compatibility,12100,LOW,2,0.22,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3076,cancer compatibility,9900,LOW,2,0.49,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3077,aquarius man and cancer woman,1000,LOW,7,0.12,general,General,guide article,/guides/aquarius-man-and-cancer-woman/,-5.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3078,gemini scorpio compatibility,9900,LOW,2,0.48,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3079,2003 animal year,1300,LOW,0,,year,Years,year guide,/guides/2003-animal-year/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3080,scorpio venus woman,1300,LOW,0,,general,General,guide article,/guides/scorpio-venus-woman/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3081,capricorn man and pisces woman,880,LOW,7,0.27,general,General,guide article,/guides/capricorn-man-and-pisces-woman/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3082,zodiac sign couples,480,LOW,4,2.61,general,General,guide article,/guides/zodiac-sign-couples/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3083,libra and scorpio relationship,390,LOW,4,0.02,compatibility,General,compatibility article,/guides/libra-and-scorpio-relationship/,-5.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3084,aquarius man in love,880,LOW,23,0.03,compatibility,Compatibility,compatibility article,/guides/aquarius-man-in-love/,-5.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3085,libra man taurus woman,880,LOW,5,0.15,general,General,guide article,/guides/libra-man-taurus-woman/,-5.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3086,pisces man and taurus woman,880,LOW,3,0.03,general,General,guide article,/guides/pisces-man-and-taurus-woman/,-5.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3087,scorpio male taurus female,880,LOW,3,0.03,general,General,guide article,/guides/scorpio-male-taurus-female/,-5.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3088,aries cancer compatibility,18100,LOW,10,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3089,aries compatibility,12100,LOW,2,0.19,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3090,aquarius pisces compatibility,12100,LOW,4,0.3,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3091,aries aries compatibility,12100,LOW,2,0.19,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3092,capricorn man pisces woman,1000,LOW,6,0.03,general,General,guide article,/guides/capricorn-man-pisces-woman/,-5.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3093,birth chart chinese astrology,5400,LOW,13,0.09,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /,-5.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3094,cancer and virgo relationship,390,LOW,5,0.03,compatibility,General,compatibility article,/guides/cancer-and-virgo-relationship/,-5.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3095,gemini and taurus friendship,320,LOW,0,,compatibility,General,compatibility article,/guides/gemini-and-taurus-friendship/,-5.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3096,lunar year animal chart,90,HIGH,78,0.06,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,-5.6,Already has a matching page; use for page expansion or supporting paragraph.
3097,metal ox,720,LOW,1,0.01,element,Elements,element article,/guides/metal-ox/,-5.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3098,zodiac compatibility chart,8100,LOW,6,0.88,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-5.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3099,aries man cancer woman,1600,LOW,18,0.04,general,General,guide article,/guides/aries-man-cancer-woman/,-5.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3100,leo man virgo woman,1000,LOW,7,0.03,general,General,guide article,/guides/leo-man-virgo-woman/,-5.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3101,leo man taurus woman,880,LOW,4,0.03,general,General,guide article,/guides/leo-man-taurus-woman/,-5.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3102,pisces man sagittarius woman,880,LOW,4,0.03,general,General,guide article,/guides/pisces-man-sagittarius-woman/,-5.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3103,taurus compatibility,12100,LOW,2,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3104,leo compatibility,12100,LOW,2,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3105,pisces sagittarius compatibility,12100,LOW,3,0.17,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3106,taurus zodiac compatibility,12100,LOW,2,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3107,leo man pisces woman,1000,LOW,10,0.17,general,General,guide article,/guides/leo-man-pisces-woman/,-6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3108,2005 is the year of what animal,720,LOW,0,0.02,year,Years,year guide,/guides/2005-is-the-year-of-what-animal/,-6.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3109,2005 is year of what animal,720,LOW,0,0.02,year,Years,year guide,/guides/2005-is-year-of-what-animal/,-6.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3110,2005 year of what animal,720,LOW,0,0.02,year,Years,year guide,/guides/2005-year-of-what-animal/,-6.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3111,aquarius libra compatibility,14800,LOW,7,0.11,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3112,capricorn compatibility with gemini,8100,LOW,3,0.04,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3113,aquarius man virgo woman,1000,LOW,8,0.04,general,General,guide article,/guides/aquarius-man-virgo-woman/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3114,sagittarius man and sagittarius woman,880,LOW,5,0.03,general,General,guide article,/guides/sagittarius-man-and-sagittarius-woman/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3115,taurus male virgo female,880,LOW,6,0.09,general,General,guide article,/guides/taurus-male-virgo-female/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3116,taurus man virgo woman,880,LOW,6,0.09,general,General,guide article,/guides/taurus-man-virgo-woman/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3117,virgo man aries woman,880,LOW,5,0.03,general,General,guide article,/guides/virgo-man-aries-woman/,-6.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3118,zodiac signs animals months,880,LOW,6,0.08,general,General,guide article,/guides/zodiac-signs-animals-months/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3119,1979 is the year of what animal,720,LOW,0,,year,Years,year guide,/guides/1979-is-the-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3120,1979 is year of what animal,720,LOW,0,,year,Years,year guide,/guides/1979-is-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3121,1992 year of what animal,720,LOW,0,,year,Years,year guide,/guides/1992-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3122,1994 is year of what animal,720,LOW,0,,year,Years,year guide,/guides/1994-is-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3123,1995 is the year of what animal,720,LOW,0,,year,Years,year guide,/guides/1995-is-the-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3124,2000 year of what animal,720,LOW,0,,year,Years,year guide,/guides/2000-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3125,2002 year of what animal,720,LOW,0,,year,Years,year guide,/guides/2002-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3126,2007 is the year of what animal,720,LOW,0,,year,Years,year guide,/guides/2007-is-the-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3127,2007 year of what animal,720,LOW,0,,year,Years,year guide,/guides/2007-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3128,2011 is the year of what animal,720,LOW,0,,year,Years,year guide,/guides/2011-is-the-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3129,2012 is year of what animal,720,LOW,0,,year,Years,year guide,/guides/2012-is-year-of-what-animal/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3130,venus in aquarius woman,720,LOW,0,,general,General,guide article,/guides/venus-in-aquarius-woman/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3131,zodiac signs animals libra,720,LOW,0,,general,General,guide article,/guides/zodiac-signs-animals-libra/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3132,cancer taurus relationship,590,LOW,5,0.03,compatibility,General,compatibility article,/guides/cancer-taurus-relationship/,-6.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3133,gemini libra friendship,480,LOW,0,,compatibility,General,compatibility article,/guides/gemini-libra-friendship/,-6.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3134,gemini pisces friendship,480,LOW,0,,compatibility,General,compatibility article,/guides/gemini-pisces-friendship/,-6.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3135,taurus man and gemini woman,480,LOW,2,0.62,general,General,guide article,/guides/taurus-man-and-gemini-woman/,-6.4,Irrelevant to Chinese zodiac; exclude from publishing queue.
3136,pisces male virgo female,1000,LOW,9,0.05,general,General,guide article,/guides/pisces-male-virgo-female/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3137,pisces man virgo woman,1000,LOW,9,0.05,general,General,guide article,/guides/pisces-man-virgo-woman/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3138,cancer man in love,720,LOW,21,0.03,compatibility,Compatibility,compatibility article,/guides/cancer-man-in-love/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3139,capricorn man and virgo woman,720,LOW,5,0.25,general,General,guide article,/guides/capricorn-man-and-virgo-woman/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3140,aries soulmate sign,390,LOW,2,4.28,general,General,guide article,/guides/aries-soulmate-sign/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3141,leo libra,390,LOW,2,3.29,general,General,guide article,/guides/leo-libra/,-6.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3142,capricorn male and gemini female,720,LOW,4,0.19,general,General,guide article,/guides/capricorn-male-and-gemini-female/,-6.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3143,capricorn man gemini woman,720,LOW,4,0.19,general,General,guide article,/guides/capricorn-man-gemini-woman/,-6.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3144,aquarius capricorn compatibility,12100,LOW,4,0.14,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-6.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3145,scorpio man and aquarius woman,880,LOW,6,0.03,general,General,guide article,/guides/scorpio-man-and-aquarius-woman/,-6.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3146,aquarius man and leo woman,880,LOW,6,0.03,general,General,guide article,/guides/aquarius-man-and-leo-woman/,-6.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3147,taurus virgo relationship,590,LOW,6,0.03,compatibility,General,compatibility article,/guides/taurus-virgo-relationship/,-6.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3148,aquarius man and taurus woman,720,LOW,3,0.09,general,General,guide article,/guides/aquarius-man-and-taurus-woman/,-6.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3149,taurus man and taurus woman,720,LOW,2,0.04,general,General,guide article,/guides/taurus-man-and-taurus-woman/,-6.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3150,pisces man and pisces woman,590,LOW,2,0.29,general,General,guide article,/guides/pisces-man-and-pisces-woman/,-6.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3151,aries gemini friendship,480,LOW,1,,compatibility,General,compatibility article,/guides/aries-gemini-friendship/,-6.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3152,aquarius and libra relationship,390,LOW,9,0.07,compatibility,General,compatibility article,/guides/aquarius-and-libra-relationship/,-7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3153,aquarius man libra woman,1000,LOW,13,0.21,general,General,guide article,/guides/aquarius-man-libra-woman/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3154,cancer man and scorpio woman,880,LOW,7,0.03,general,General,guide article,/guides/cancer-man-and-scorpio-woman/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3155,scorpio man and cancer woman,720,LOW,4,0.12,general,General,guide article,/guides/scorpio-man-and-cancer-woman/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3156,cancer man and capricorn woman,720,LOW,3,0.07,general,General,guide article,/guides/cancer-man-and-capricorn-woman/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3157,gemini man and scorpio woman,720,LOW,2,0.01,general,General,guide article,/guides/gemini-man-and-scorpio-woman/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3158,love horoscope by date of birth,170,LOW,16,1.94,calculator,Compatibility,tool-support article,/guides/love-horoscope-by-date-of-birth/,-7.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3159,gemini virgo compatibility,9900,LOW,3,0.28,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-7.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3160,aries and gemini relationship,320,LOW,4,0.02,compatibility,General,compatibility article,/guides/aries-and-gemini-relationship/,-7.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3161,scorpio man and leo woman,880,LOW,8,0.04,general,General,guide article,/guides/scorpio-man-and-leo-woman/,-7.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3162,scorpio man and gemini woman,720,LOW,3,0.02,general,General,guide article,/guides/scorpio-man-and-gemini-woman/,-7.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3163,aquarius relationship,480,LOW,3,0.03,compatibility,General,compatibility article,/guides/aquarius-relationship/,-7.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3164,best sign for libra,260,LOW,4,1.37,general,General,guide article,/guides/best-sign-for-libra/,-7.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3165,aries aries relationship,480,LOW,5,0.13,compatibility,General,compatibility article,/guides/aries-aries-relationship/,-7.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3166,aries and aries friendship,260,LOW,0,,compatibility,General,compatibility article,/guides/aries-and-aries-friendship/,-7.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3167,sagittarius and sagittarius friendship,260,LOW,0,,compatibility,General,compatibility article,/guides/sagittarius-and-sagittarius-friendship/,-7.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3168,virgo and gemini compatibility,6600,LOW,2,0.07,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-7.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3169,best zodiac matches,880,LOW,9,0.7,general,Compatibility,guide article,/guides/best-zodiac-matches/,-7.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3170,capricorn in relationships,880,LOW,3,0.36,general,General,guide article,/guides/capricorn-in-relationships/,-7.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3171,cancer star sign compatibility,6600,LOW,4,0.17,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-7.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3172,cancer zodiac sign compatibility,6600,LOW,4,0.17,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-7.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3173,capricorn man and aries woman,720,LOW,4,0.04,general,General,guide article,/guides/capricorn-man-and-aries-woman/,-7.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3174,capricorn man and taurus woman,720,LOW,4,0.04,general,General,guide article,/guides/capricorn-man-and-taurus-woman/,-7.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3175,libra man and taurus woman,720,LOW,4,0.04,general,General,guide article,/guides/libra-man-and-taurus-woman/,-7.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3176,2014 animal year,1000,LOW,0,,year,Years,year guide,/guides/2014-animal-year/,-7.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3177,pisces man and sagittarius woman,720,LOW,5,0.08,general,General,guide article,/guides/pisces-man-and-sagittarius-woman/,-7.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3178,gemini man libra woman,880,LOW,9,0.03,general,General,guide article,/guides/gemini-man-libra-woman/,-8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3179,leo man in love,590,LOW,20,0.03,compatibility,Compatibility,compatibility article,/guides/leo-man-in-love/,-8.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3180,free birth chart compatibility report,1600,LOW,16,1.84,calculator,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-8.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3181,scorpio man and virgo woman,720,LOW,5,0.04,general,General,guide article,/guides/scorpio-man-and-virgo-woman/,-8.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3182,cancer man and pisces woman,720,LOW,6,0.1,general,General,guide article,/guides/cancer-man-and-pisces-woman/,-8.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3183,capricorn man and gemini woman,720,LOW,5,0.03,general,General,guide article,/guides/capricorn-man-and-gemini-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3184,gemini man and sagittarius woman,720,LOW,5,0.03,general,General,guide article,/guides/gemini-man-and-sagittarius-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3185,gemini man sagittarius woman,720,LOW,5,0.03,general,General,guide article,/guides/gemini-man-sagittarius-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3186,1998 year of what animal,590,LOW,0,,year,Years,year guide,/guides/1998-year-of-what-animal/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3187,2018 is the year of what animal,590,LOW,0,,year,Years,year guide,/guides/2018-is-the-year-of-what-animal/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3188,2018 is year of what animal,590,LOW,0,,year,Years,year guide,/guides/2018-is-year-of-what-animal/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3189,2018 year of what animal,590,LOW,0,,year,Years,year guide,/guides/2018-year-of-what-animal/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3190,aquarius sun gemini moon,590,LOW,0,,general,General,guide article,/guides/aquarius-sun-gemini-moon/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3191,most loved zodiac sign,590,LOW,0,,general,General,guide article,/guides/most-loved-zodiac-sign/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3192,venus in capricorn woman,590,LOW,0,,general,General,guide article,/guides/venus-in-capricorn-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3193,venus in leo woman,590,LOW,0,,general,General,guide article,/guides/venus-in-leo-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3194,venus in sagittarius woman,590,LOW,0,,general,General,guide article,/guides/venus-in-sagittarius-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3195,venus in taurus woman,590,LOW,0,,general,General,guide article,/guides/venus-in-taurus-woman/,-8.3,Irrelevant to Chinese zodiac; exclude from publishing queue.
3196,capricorn man leo woman,590,LOW,1,0.03,general,General,guide article,/guides/capricorn-man-leo-woman/,-8.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3197,scorpio and cancer in bed,590,LOW,1,0.04,general,General,guide article,/guides/scorpio-and-cancer-in-bed/,-8.5,Irrelevant to Chinese zodiac; exclude from publishing queue.
3198,aquarius and aquarius,1000,LOW,2,0.02,general,General,guide article,/guides/aquarius-and-aquarius/,-8.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3199,aquarius with aquarius,1000,LOW,2,0.02,general,General,guide article,/guides/aquarius-with-aquarius/,-8.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3200,chinese calendar birth chart,110,LOW,10,1.54,calculator,Calculator / Birthday,tool-support article,/guides/chinese-calendar-birth-chart/,-8.6,Irrelevant to Chinese zodiac; exclude from publishing queue.
3201,pisces man and gemini woman,720,LOW,6,0.04,general,General,guide article,/guides/pisces-man-and-gemini-woman/,-8.7,Irrelevant to Chinese zodiac; exclude from publishing queue.
3202,cancer and aquarius in bed,590,LOW,1,,general,General,guide article,/guides/cancer-and-aquarius-in-bed/,-8.8,Irrelevant to Chinese zodiac; exclude from publishing queue.
3203,capricorn and gemini compatibility,5400,LOW,3,0.23,general,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,-8.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3204,capricorn man and capricorn woman,590,LOW,2,0.04,general,General,guide article,/guides/capricorn-man-and-capricorn-woman/,-8.9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3205,leo man and scorpio woman,720,LOW,7,0.05,general,General,guide article,/guides/leo-man-and-scorpio-woman/,-9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3206,aries sagittarius friendship,390,LOW,1,,compatibility,General,compatibility article,/guides/aries-sagittarius-friendship/,-9,Irrelevant to Chinese zodiac; exclude from publishing queue.
3207,gemini gemini relationship,390,LOW,2,0.05,compatibility,General,compatibility article,/guides/gemini-gemini-relationship/,-9.1,Irrelevant to Chinese zodiac; exclude from publishing queue.
3208,1999 animal year,880,LOW,0,,year,Years,year guide,/guides/1999-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3209,2001 animal year,880,LOW,0,,year,Years,year guide,/guides/2001-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3210,2004 animal year,880,LOW,0,,year,Years,year guide,/guides/2004-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3211,2010 animal year,880,LOW,0,,year,Years,year guide,/guides/2010-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3212,2015 animal year,880,LOW,0,,year,Years,year guide,/guides/2015-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3213,2016 animal year,880,LOW,0,,year,Years,year guide,/guides/2016-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3214,2017 animal year,880,LOW,0,,year,Years,year guide,/guides/2017-animal-year/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3215,libra in relationships,720,LOW,4,0.48,general,General,guide article,/guides/libra-in-relationships/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3216,aries man and libra woman,590,LOW,2,,general,General,guide article,/guides/aries-man-and-libra-woman/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
3217,taurus taurus relationship,390,LOW,3,0.09,compatibility,General,compatibility article,/guides/taurus-taurus-relationship/,-9.2,Irrelevant to Chinese zodiac; exclude from publishing queue.
